gender,age,height,tattoos,sword.type,eyepatch,beard.length
male,11,174.26,10,sabre,0,31
male,11,174.6,17,cutlass,0,22
male,12,175.29,10,cutlass,0,24
male,12,168.03,8,cutlass,0,21
male,12,177.71,11,cutlass,0,21
male,13,186.85,8,cutlass,0,28
male,13,180.7,17,cutlass,1,25
male,13,168.38,15,cutlass,1,28
male,13,182.28,5,sabre,0,6
male,14,190.17,1,sabre,0,13
male,14,171.5,5,banana,0,11
female,14,162.72,4,scimitar,0,0
male,14,179.04,7,cutlass,0,16
male,14,177.11,9,cutlass,1,15
male,15,171.48,2,banana,1,18
female,15,179.91,14,cutlass,0,1
male,15,173.03,13,scimitar,0,22
male,15,175.63,8,cutlass,0,31
male,15,172.66,6,sabre,0,16
male,15,190.24,8,cutlass,0,6
male,15,179.46,12,cutlass,0,23
male,15,148.68,7,scimitar,1,22
male,15,187.44,11,cutlass,1,20
male,15,191.37,14,cutlass,1,26
male,15,176.33,12,cutlass,0,24
female,16,161.14,9,cutlass,1,1
male,16,191.17,5,sabre,0,13
male,16,167.51,9,cutlass,1,23
male,16,180.02,10,cutlass,1,20
male,16,188.67,8,cutlass,1,13
female,16,157.06,10,cutlass,1,2
male,16,180.6,11,cutlass,1,18
male,16,170.67,8,sabre,0,16
female,17,145.98,14,cutlass,0,0
female,17,166.89,7,cutlass,1,0
male,17,165.18,9,cutlass,1,13
male,17,172.84,12,cutlass,0,21
male,17,173.62,16,cutlass,1,24
male,17,186.14,7,cutlass,1,16
male,17,199.34,13,cutlass,1,28
female,17,156.89,8,cutlass,0,0
female,17,146.93,10,cutlass,1,1
male,17,169.67,9,cutlass,1,19
male,17,183.73,9,cutlass,0,15
male,17,186.2,9,cutlass,1,20
male,17,148.35,0,sabre,0,21
male,17,186.2,12,cutlass,0,25
female,18,163.09,9,cutlass,0,0
male,18,161.41,8,cutlass,0,13
male,18,171.32,13,cutlass,0,22
male,18,176.82,9,cutlass,0,17
male,18,169.19,10,scimitar,0,13
male,18,178.05,14,cutlass,0,26
male,18,180.27,11,cutlass,0,22
male,18,169.16,13,scimitar,0,22
male,18,172.78,9,cutlass,0,21
male,18,184.84,12,cutlass,0,22
male,18,178.09,3,cutlass,0,15
male,18,169.81,5,cutlass,0,28
male,18,177.63,8,cutlass,0,15
female,18,160.93,12,cutlass,0,1
male,18,167.27,8,cutlass,0,17
male,19,174.94,11,cutlass,0,20
female,19,164.19,6,cutlass,0,0
male,19,188.26,8,cutlass,0,20
male,19,176.42,14,cutlass,0,16
male,19,190.82,10,cutlass,0,13
male,19,155.42,12,scimitar,0,20
male,19,175.78,6,cutlass,0,21
male,19,183.17,11,cutlass,1,18
male,19,164.48,13,scimitar,1,19
male,19,157.38,9,cutlass,0,12
male,19,166.53,12,cutlass,1,28
male,19,166.6,10,cutlass,1,15
male,19,168.05,14,cutlass,1,27
male,19,164.23,8,cutlass,1,20
female,19,163.18,8,sabre,1,0
male,19,186.63,7,cutlass,1,25
male,19,176.9,11,cutlass,1,15
male,19,184.24,8,cutlass,1,10
female,19,142.24,14,sabre,1,1
male,19,182.55,14,cutlass,1,27
male,19,187.63,11,cutlass,1,17
male,19,177.11,10,cutlass,1,22
male,19,174.29,15,scimitar,1,22
male,19,147.74,11,cutlass,1,16
female,19,152.44,11,cutlass,1,0
male,19,165.42,10,scimitar,1,10
male,20,163.65,14,cutlass,0,27
male,20,160.64,9,cutlass,0,16
female,20,152.21,7,cutlass,1,2
male,20,178.16,12,cutlass,0,21
male,20,161.89,11,cutlass,1,16
male,20,187.23,12,sabre,1,22
male,20,189.18,6,cutlass,1,18
male,20,179.45,7,cutlass,1,15
male,20,170.14,13,cutlass,1,25
female,20,149.71,8,cutlass,1,0
female,20,165.28,12,cutlass,1,0
male,20,175.04,10,cutlass,1,25
male,20,194.53,9,cutlass,1,5
male,20,169.22,16,cutlass,1,24
male,20,176.72,7,cutlass,1,23
female,20,185.9,9,cutlass,1,0
male,20,195.08,4,banana,1,8
male,20,177.32,11,cutlass,1,27
male,20,183.95,7,cutlass,1,10
male,20,179.23,9,cutlass,1,23
male,20,187.04,11,cutlass,1,15
male,20,179.01,8,cutlass,1,14
male,20,188.89,8,cutlass,1,28
male,20,164.98,2,scimitar,0,13
male,20,169.84,3,banana,1,11
male,20,158.96,13,cutlass,1,23
male,20,179.35,12,cutlass,1,13
male,20,187.91,3,cutlass,1,10
male,20,169.9,10,cutlass,1,28
male,20,177.65,12,cutlass,1,19
male,21,177.52,11,cutlass,0,20
male,21,174.63,14,cutlass,1,16
male,21,185.38,11,cutlass,1,26
male,21,159.73,12,cutlass,1,14
female,21,166.57,8,cutlass,0,0
male,21,181.4,10,cutlass,1,23
male,21,168.89,10,cutlass,1,22
female,21,155.81,8,cutlass,1,0
male,21,176.45,14,cutlass,0,28
male,21,182.78,8,cutlass,1,29
male,21,188.27,2,banana,0,12
male,21,196.33,13,cutlass,1,22
male,21,165.42,10,cutlass,1,13
female,21,176.91,6,banana,0,0
female,21,151.46,1,sabre,1,1
male,21,176.31,9,cutlass,0,23
female,21,169.71,14,cutlass,1,0
male,21,199.47,8,cutlass,1,21
male,21,182.62,5,cutlass,1,23
male,21,189.81,12,scimitar,0,25
male,21,167.65,4,cutlass,1,6
male,21,161.27,7,cutlass,0,15
male,21,182.91,7,cutlass,1,21
female,21,162.6,8,cutlass,1,0
male,21,180.78,9,sabre,1,18
male,21,185.86,1,sabre,1,15
male,21,173.96,11,cutlass,1,13
male,21,164.54,2,cutlass,0,9
male,21,176.95,7,cutlass,1,20
male,22,187.83,10,cutlass,0,12
male,22,196.69,2,cutlass,1,17
male,22,181.95,15,cutlass,1,29
male,22,187.09,16,cutlass,0,26
male,22,179.77,3,cutlass,0,15
male,22,187.16,4,cutlass,0,13
male,22,185.72,12,cutlass,0,24
male,22,179.91,10,cutlass,0,16
male,22,186.99,13,cutlass,1,12
male,22,191.65,6,scimitar,1,12
male,22,171.26,10,cutlass,0,13
male,22,179,10,cutlass,1,26
male,22,173.82,12,scimitar,1,27
male,22,182.14,12,cutlass,1,22
male,22,195.82,4,cutlass,1,24
male,22,179.93,13,cutlass,1,23
male,22,169.02,9,cutlass,1,19
male,22,172.81,4,scimitar,0,20
female,22,160.45,4,sabre,1,0
male,22,186.29,9,cutlass,0,18
female,22,148.75,10,cutlass,1,1
female,22,155.48,14,cutlass,1,1
male,22,178.26,9,cutlass,0,18
male,22,183.11,12,cutlass,1,24
male,22,191.63,7,cutlass,0,20
female,22,171.29,10,cutlass,1,0
male,22,179.81,6,banana,1,8
male,22,179.33,13,cutlass,0,26
male,22,163.93,9,cutlass,1,20
male,22,170.11,1,cutlass,1,12
male,22,182.73,3,banana,1,9
female,22,153.69,11,cutlass,1,0
female,22,154.62,13,cutlass,0,0
male,22,171.86,4,banana,1,11
male,22,175.19,7,cutlass,1,22
female,22,175.28,5,cutlass,1,0
male,22,169.17,5,banana,1,6
male,22,183.98,9,cutlass,1,22
female,22,149.67,10,cutlass,1,2
male,22,191.08,14,cutlass,1,22
male,22,178.36,14,cutlass,1,29
male,22,184.21,9,cutlass,1,18
male,22,186,10,cutlass,1,18
male,22,177.07,8,cutlass,1,24
male,22,186.93,14,cutlass,1,24
male,23,158.66,13,cutlass,1,29
male,23,178.24,17,cutlass,1,24
female,23,157.7,12,cutlass,1,0
female,23,168.26,9,cutlass,1,2
male,23,162.25,10,cutlass,1,24
male,23,198.72,12,cutlass,1,24
female,23,161.34,9,cutlass,1,0
female,23,177.9,6,cutlass,1,1
male,23,166.12,8,cutlass,0,29
male,23,161.57,15,cutlass,1,40
male,23,161.71,6,cutlass,1,9
male,23,167.78,8,banana,1,13
male,23,171.57,11,cutlass,0,22
female,23,171.88,11,cutlass,1,0
male,23,176.02,8,cutlass,1,25
male,23,180.96,10,cutlass,1,24
male,23,163.9,15,cutlass,1,23
male,23,169.74,15,cutlass,1,29
male,23,195.42,10,cutlass,1,23
male,23,166.26,6,cutlass,0,13
male,23,185.46,8,sabre,0,20
male,23,195.55,6,cutlass,0,9
male,23,192.26,9,cutlass,0,15
male,23,165.21,10,cutlass,1,17
male,23,174.99,9,cutlass,1,23
female,23,143.47,8,cutlass,1,2
male,23,149.67,13,cutlass,1,26
male,23,153.65,5,cutlass,0,20
male,23,188.65,8,cutlass,0,5
male,23,171.51,10,cutlass,1,31
male,23,179.41,11,cutlass,1,15
male,23,167.25,10,cutlass,1,27
male,23,172.6,15,cutlass,1,22
female,23,166.75,8,cutlass,1,0
female,23,148.59,10,cutlass,1,0
male,23,182.25,9,cutlass,1,26
male,23,183.57,12,cutlass,1,24
male,23,169.69,11,cutlass,1,16
male,23,175.95,17,cutlass,1,25
female,24,171.04,8,cutlass,0,0
female,24,158.88,18,cutlass,1,0
female,24,176.23,14,cutlass,1,0
male,24,187.51,8,cutlass,0,19
female,24,186.2,13,cutlass,1,0
male,24,165.55,14,cutlass,1,20
male,24,161.99,11,sabre,1,20
male,24,148.73,7,cutlass,1,12
female,24,166.62,9,cutlass,1,0
female,24,158.51,17,cutlass,0,0
female,24,147.54,13,cutlass,0,0
male,24,197.98,12,cutlass,1,26
male,24,181.84,10,sabre,1,23
female,24,158.27,13,sabre,0,0
male,24,175.47,11,cutlass,1,18
male,24,155.61,11,cutlass,0,20
